Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5     -13916mil  -9946.724mil       -528mil       -482mil     -13916mil  -9946.724mil  T          0.00 Comment        
Designator TARGET_MECHANICAL_5     -13916mil  -9946.724mil       3251mil       2349mil     -13916mil  -9946.724mil  T          0.00 Comment        
Designator TARGET_MECHANICAL_5     -13916mil  -9946.724mil       -609mil       2306mil     -13916mil  -9946.724mil  T          0.00 Comment        
TP2        SMD_TEST_POINT        1700mil     441.26mil       1700mil     441.26mil       1700mil     441.26mil  T        180.00 Test Point SMD 
TP1        SMD_TEST_POINT        1980mil     441.26mil       1980mil     441.26mil       1980mil     441.26mil  T          0.00 Test Point SMD 
U4         TO-92               54.331mil     118.11mil     54.331mil     118.11mil     54.331mil     168.11mil  B        180.00 SS441A         
U3         TO-92               54.331mil    708.661mil     54.331mil    708.661mil     54.331mil    758.661mil  B        180.00 SS441A         
U2         TO-92               54.331mil   1299.213mil     54.331mil   1299.213mil     54.331mil   1349.213mil  B        180.00 SS441A         
U1L        S8_M              1053.087mil    323.862mil   1053.087mil    323.862mil    978.087mil    420.319mil  B        270.00 TDA0161        
U1K        S8_M               776.037mil    324.532mil    776.037mil    324.532mil    701.037mil    420.989mil  B        270.00 TDA0161        
U1J        S8_M               504.037mil    324.462mil    504.037mil    324.462mil    429.037mil    420.919mil  B        270.00 TDA0161        
U1I        S8_M               228.037mil    323.077mil    228.037mil    323.077mil    153.037mil    419.534mil  B        270.00 TDA0161        
U1H        S8_M              1059.087mil    912.862mil   1059.087mil    912.862mil    984.087mil   1009.319mil  B        270.00 TDA0161        
U1G        S8_M               782.087mil    915.862mil    782.087mil    915.862mil    707.087mil   1012.319mil  B        270.00 TDA0161        
U1F        S8_M               506.087mil    914.862mil    506.087mil    914.862mil    431.087mil   1011.319mil  B        270.00 TDA0161        
U1E        S8_M               228.087mil    913.862mil    228.087mil    913.862mil    153.087mil   1010.319mil  B        270.00 TDA0161        
U1D        S8_M              1057.087mil   1504.862mil   1057.087mil   1504.862mil    982.087mil   1601.319mil  B        270.00 TDA0161        
U1C        S8_M               781.087mil   1504.863mil    781.087mil   1504.863mil    706.087mil   1601.319mil  B        270.00 TDA0161        
U1B        S8_M               506.037mil   1503.643mil    506.037mil   1503.643mil    431.037mil   1600.099mil  B        270.00 TDA0161        
U1A        S8_M               235.037mil   1500.573mil    235.037mil   1500.573mil    160.037mil   1597.029mil  B        270.00 TDA0161        
R2L        SMD_0805          1851.362mil    677.417mil   1851.362mil    677.417mil   1851.362mil    632.417mil  T         90.00 Res 0805       
R2K        SMD_0805          1596.753mil    711.237mil   1596.753mil    711.237mil   1596.753mil    666.237mil  T         90.00 Res 0805       
R2J        SMD_0805          1785.383mil    894.946mil   1785.383mil    894.946mil   1785.383mil    849.946mil  T         90.00 Res 0805       
R2I        SMD_0805          1523.162mil    936.081mil   1523.162mil    936.081mil   1523.162mil    891.081mil  T         90.00 Res 0805       
R2H        SMD_0805           1274.37mil    982.874mil    1274.37mil    982.874mil    1274.37mil    937.874mil  T         90.00 Res 0805       
R2G        SMD_0805          1779.024mil   1133.276mil   1779.024mil   1133.276mil   1779.024mil   1088.276mil  T         90.00 Res 0805       
R2F        SMD_0805          1516.803mil   1184.165mil   1516.803mil   1184.165mil   1516.803mil   1139.165mil  T         90.00 Res 0805       
R2E        SMD_0805          1267.323mil   1230.945mil   1267.323mil   1230.945mil   1267.323mil   1185.945mil  T         90.00 Res 0805       
R2D        SMD_0805          1838.504mil   1341.575mil   1838.504mil   1341.575mil   1838.504mil   1296.575mil  T         90.00 Res 0805       
R2C        SMD_0805          1584.409mil    1392.52mil   1584.409mil    1392.52mil   1584.409mil    1347.52mil  T         90.00 Res 0805       
R2B        SMD_0805          1884.961mil    1540.63mil   1884.961mil    1540.63mil   1884.961mil    1495.63mil  T         90.00 Res 0805       
R2A        SMD_0805          1644.961mil    1580.63mil   1644.961mil    1580.63mil   1644.961mil    1535.63mil  T         90.00 Res 0805       
R1L        SMD_0805              1077mil     505.26mil       1077mil     505.26mil       1032mil     505.26mil  B        360.00 Res 0805       
