Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5     -52668mil -33611.508mil       6246mil       4578mil     -52668mil -33611.508mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5     -52668mil -33611.508mil       -780mil       4578mil     -52668mil -33611.508mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5     -52668mil -33611.508mil       -599mil      -1723mil     -52668mil -33611.508mil  T        180.00 Comment        
Designator HEATSINK_TO-220_SINGLE       5137mil   1183.775mil       5137mil   1183.775mil       5137mil   1183.775mil  T        180.00 Comment        
Designator HEATSINK_TO-220_SINGLE       5137mil       3021mil       5137mil       3021mil       5137mil       3021mil  T        180.00 Comment        
Designator HEATSINK_TO-220_SINGLE       4737mil       3021mil       4737mil       3021mil       4737mil       3021mil  T        360.00 Comment        
J1         QMS_EDGE_PWR_PINS   2952.756mil     55.118mil   2952.756mil          0mil   4105.206mil     69.148mil  T         90.00 QMSS-EM-PC4    
RN3        RES_ARRAY_0603_x_4   2239.386mil   2079.748mil   2197.063mil   2126.992mil       2201mil   2126.992mil  T        270.00 RES ARRAY  x4 10K
RN2        RES_ARRAY_0603_x_4   2342.386mil   1919.748mil   2300.063mil   1966.992mil       2304mil   1966.992mil  T        270.00 RES ARRAY  x4 10K
R26        SMD_0805              5180mil        536mil       5180mil        536mil       5180mil        581mil  B        270.00 Res 0805       
R25        SMD_0805              5320mil       1772mil       5320mil       1772mil       5320mil       1817mil  B        270.00 Res 0805       
R24        SMD_0805              5105mil        535mil       5105mil        535mil       5105mil        490mil  B         90.00 Res 0805       
R23        SMD_0805              5168mil       1773mil       5168mil       1773mil       5168mil       1728mil  B         90.00 Res 0805       
R22        smd_0805              4100mil        660mil       4100mil        660mil       4100mil        705mil  T        270.00 Res 0805       
Q5         TO-252(D-PAK)__PowerPAD   5427.583mil    580.575mil   5444.315mil    580.575mil   5273.055mil    490.811mil  B        360.00 IRF5303P       
Q4         TO-252(D-PAK)__PowerPAD   5587.638mil    1814.37mil    5604.37mil    1814.37mil    5433.11mil   1724.606mil  B        360.00 IRF5303P       
C33        SMD_0805              5030mil        535mil       5030mil        535mil       5030mil        490mil  B         90.00 Cap SMD        
C32        SMD_0805              5236mil       1773mil       5236mil       1773mil       5236mil       1728mil  B         90.00 Cap SMD        
C31        SMD_0805              2757mil       2069mil       2757mil       2069mil       2712mil       2069mil  T        360.00 Cap SMD        
C30        SMD_0805              2750mil       2137mil       2750mil       2137mil       2705mil       2137mil  T        360.00 Cap SMD        
C29        SMD_0805              2749mil       2235mil       2749mil       2235mil       2704mil       2235mil  T        360.00 Cap SMD        
C28        SMD_0805              2756mil       2000mil       2756mil       2000mil       2711mil       2000mil  T        360.00 Cap SMD        
C27        SMD_0805              2757mil       1932mil       2757mil       1932mil       2712mil       1932mil  T        360.00 Cap SMD        
C26        SMD_0805              2759mil       1864mil       2759mil       1864mil       2714mil       1864mil  T        360.00 Cap SMD        
C1         SMD_CAP_6032          5600mil       1210mil       5600mil       1210mil       5600mil       1095mil  B         90.00 35V            
C2         SMD_CAP_6032          5409mil       1094mil       5409mil       1094mil       5409mil        979mil  B         90.00 35V            
R4         SMD_0805              5750mil        850mil       5750mil        850mil       5795mil        850mil  B        180.00 Res 0805       
R21        SMD_0805              5750mil        915mil       5750mil        915mil       5705mil        915mil  B        360.00 Res 0805       
U2         TO-220AB              5807mil   1186.137mil       5807mil   1186.137mil       5807mil   1086.137mil  T         90.00 LM350T         
Q1B        TO-220AB              5807mil       3020mil       5807mil       3020mil       5807mil       2920mil  T         90.00 TIP41          
Q1A        TO-220AB              4068mil       3022mil       4068mil       3022mil       4068mil       3122mil  T        270.00 TIP41          
C3B        SMD_0805              3831mil       1474mil       3831mil       1474mil       3786mil       1474mil  T        360.00 Cap SMD        
C3A        SMD_0805              1319mil       1419mil       1319mil       1419mil       1274mil       1419mil  T        360.00 Cap SMD        
U6         SMD_SOT23_3           3608mil        739mil       3608mil        739mil       3651mil        702mil  T         90.00 DS2411         
U5B        S8_M                  3885mil       1654mil       3885mil       1654mil   3788.543mil       1729mil  T        360.00 LT1007CS8#PBF  
U5A        S8_M                  1371mil       1654mil       1371mil       1654mil   1274.543mil       1729mil  T        360.00 LT1007CS8#PBF  
U4B        TSSOP20           3619.207mil   1170.979mil   3728.459mil   1055.822mil   3728.459mil   1055.822mil  T         90.00 ADS1247        
U4A        TSSOP20           1105.207mil   1170.979mil   1214.459mil   1055.822mil   1214.459mil   1055.822mil  T         90.00 ADS1247        
U3         S8_M                  3349mil       3218mil       3349mil       3218mil   3252.543mil       3293mil  T        360.00 LT1007CS8#PBF  
U1         SuperFin_Footprint   2700.394mil   2871.063mil   1055.512mil    3717.52mil   2474.803mil   3243.898mil  B        360.00 SuperFin Module
TP30B      SMD_TEST_POINT        4054mil       1003mil       4054mil       1003mil       4054mil       1003mil  T        180.00 Test Point SMD 
TP30A      SMD_TEST_POINT        1540mil       1003mil       1540mil       1003mil       1540mil       1003mil  T        180.00 Test Point SMD 
TP29B      SMD_TEST_POINT        3273mil       1033mil       3273mil       1033mil       3273mil       1033mil  T        180.00 Test Point SMD 
TP29A      SMD_TEST_POINT         759mil       1033mil        759mil       1033mil        759mil       1033mil  T        180.00 Test Point SMD 
TP28B      SMD_TEST_POINT        3273mil       1136mil       3273mil       1136mil       3273mil       1136mil  T        180.00 Test Point SMD 
TP28A      SMD_TEST_POINT         759mil       1136mil        759mil       1136mil        759mil       1136mil  T        180.00 Test Point SMD 
TP27B      SMD_TEST_POINT    4059.354mil       1127mil   4059.354mil       1127mil   4059.354mil       1127mil  T        180.00 Test Point SMD 
TP27A      SMD_TEST_POINT    1545.354mil       1127mil   1545.354mil       1127mil   1545.354mil       1127mil  T        180.00 Test Point SMD 
TP25       SMD_TEST_POINT        3082mil       2511mil       3082mil       2511mil       3082mil       2511mil  T         90.00 Test Point SMD 
TP21       SMD_TEST_POINT        2735mil       2924mil       2735mil       2924mil       2735mil       2924mil  T        180.00 Test Point SMD 
TP18       SMD_TEST_POINT        1838mil        740mil       1838mil        740mil       1838mil        740mil  T         90.00 Test Point SMD 
TP17       SMD_TEST_POINT        5778mil        673mil       5778mil        673mil       5778mil        673mil  T         90.00 Test Point SMD 
TP16       SMD_TEST_POINT        4603mil       1458mil       4603mil       1458mil       4603mil       1458mil  T         90.00 Test Point SMD 
TP15       SMD_TEST_POINT        1059mil        694mil       1059mil        694mil       1059mil        694mil  T         90.00 Test Point SMD 
TP14       SMD_TEST_POINT        4701mil        413mil       4701mil        413mil       4701mil        413mil  T         90.00 Test Point SMD 
TP13       SMD_TEST_POINT        4494mil        958mil       4494mil        958mil       4494mil        958mil  T         90.00 Test Point SMD 
TP12       SMD_TEST_POINT        5765mil       3670mil       5765mil       3670mil       5765mil       3670mil  T         90.00 Test Point SMD 
