Level,item_number,reference_designator,Quantity,,,,,,,
0,830-00021,,1,,,,,,,
1,175-00018,bare PCB,1,,,,,,,
1,120-00002,"C1, C4, C5, C6, C8, C9",6,,,,,,,
1,120-00006,"C3, C7, C10",3,,,,,,,
1,125-00042,"J1, J2, J3",3,,,,,,,
1,125-00056,P1,1,,,,,,,
1,181-02491,"R1, R4, R7",3,,,,,,,
1,181-01002,"R2, R5, R8",3,,,,,,,
1,181-01003,"R3, R6, R9",3,,,,,,,
1,185-00010,S1,1,,,,,,,
1,160-00001,"TP1, TP2, TP3",3,,,,,,,
1,150-00066,"U1, U4, U5",3,,,,,,,
1,150-00006,"U2, U3, U6",3,,,,,,,
1,150-00076,U8,1,,,,,,,
