Level,item_number,reference_designator,Quantity
0,830-00013,,1
1,175-00016,Bare PCB,1
1,150-00084,"U4, U5",2
1,150-00076,U3,1
1,150-00077,U2,1
1,150-00067,U1,1
1,185-00010,S2,1
1,185-00011,S1,1
1,180-00043,"RN1, RN2, RN3, RN4, RN5, RN6, RN7",7
1,181-049R9,R15,1
1,181-04990,"R5, R8, R11, R14",4
1,181-01502,"R3, R6, R9, R12",4
1,181-01002,"R1, R2, R4, R7, R10, R13, R16, R17",8
1,125-00054,P7,1
1,125-00055,P6,1
1,125-00037,P4,1
1,125-00033,P2,1
1,125-00047,"P1, P5",2
1,125-00059,J1,1
1,140-00011,D1,1
1,120-00001,"C15, C16, C18",3
1,120-00043,"C3, C4, C5, C6, C7, C8, C9, C10",8
1,120-00002,"C1, C2, C11, C12, C13, C14, C17",7
