Level,item_number,reference_designator,Quantity
0,820-00010,None,1
1,120-00049,C1,1
1,120-00050,C2,1
1,120-00030,C3,1
1,120-00051,"C4, C8, C12, C13, C15, C16, C22, C23, C24, C26, C27, C28, C29",13
1,120-00006,"C5, C6, C7, C20, C21",5
1,120-00052,"C9, C17",2
1,120-00046,"C10, C11",2
1,120-00002,"C18, C19",2
1,120-00053,"C25, C30",2
1,140-00012,D1,1
1,145-00003,F1,1
1,155-00015,L1,1
1,125-00087,P1,1
1,125-00054,P3,1
1,125-00033,P4,1
1,125-00182,P5,1
1,125-00037,"P6, P7, P8, P9",4
1,195-00004,Q1,1
1,150-00093,Q2,1
1,181-SOT,"R1, R2",2
1,181-05621,R3,1
1,181-02260,R4,1
1,181-03321,R5,1
1,181-02052,R7,1
1,181-01003,R11,1
1,181-02003,R12,1
1,185-00010,S1,1
1,125-00013,"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13",13
1,150-00087,U2,1
1,150-00083,U8,1
1,150-00076,U9,1
1,150-00030,U10,1
1,175-00035,Bare PCB,1
1,450-00001,PS1,4
