Release 8.1i - Fit L.33
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 2-18-2014  9:12AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  FPGA_Project_NRES_RTD_board_rev1.ngd
output file: FPGA_Project_NRES_RTD_board_rev1_pad.csv
Part type:   xcr3128xl
Speed grade: -10
Package:     vq100

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,X_CS_10,O,I/O,OUTPUT,,,,,,,,,
P2,WPU,,I/O,,,,,,,,,,
P3,VCC,,VCC,,,,,,,,,,
P4,TDI,,I/O/TDI,,,,,,,,,,
P5,B0,I,I/O,INPUT,,,,,,,,,
P6,WPU,,I/O,,,,,,,,,,
P7,WPU,,I/O,,,,,,,,,,
P8,WPU,,I/O,,,,,,,,,,
P9,WPU,,I/O,,,,,,,,,,
P10,WPU,,I/O,,,,,,,,,,
P11,PE,,PORT_EN,,,,,,,,,,
P12,WPU,,I/O,,,,,,,,,,
P13,WPU,,I/O,,,,,,,,,,
P14,WPU,,I/O,,,,,,,,,,
P15,TMS,,I/O/TMS,,,,,,,,,,
P16,WPU,,I/O,,,,,,,,,,
P17,WPU,,I/O,,,,,,,,,,
P18,VCC,,VCC,,,,,,,,,,
P19,WPU,,I/O,,,,,,,,,,
P20,WPU,,I/O,,,,,,,,,,
P21,X_CS_11,O,I/O,OUTPUT,,,,,,,,,
P22,WPU,,I/O,,,,,,,,,,
P23,WPU,,I/O,,,,,,,,,,
P24,WPU,,I/O,,,,,,,,,,
P25,WPU,,I/O,,,,,,,,,,
P26,GND,,GND,,,,,,,,,,
P27,WPU,,I/O,,,,,,,,,,
P28,WPU,,I/O,,,,,,,,,,
P29,WPU,,I/O,,,,,,,,,,
P30,WPU,,I/O,,,,,,,,,,
P31,WPU,,I/O,,,,,,,,,,
P32,WPU,,I/O,,,,,,,,,,
P33,X_CS_0,O,I/O,OUTPUT,,,,,,,,,
P34,VCC,,VCC,,,,,,,,,,
P35,START_0,O,I/O,OUTPUT,,,,,,,,,
P36,DOUT_0,I,I/O,INPUT,,,,,,,,,
P37,X_CS_1,O,I/O,OUTPUT,,,,,,,,,
P38,GND,,GND,,,,,,,,,,
P39,VCC,,VCC,,,,,,,,,,
P40,START_1,O,I/O,OUTPUT,,,,,,,,,
P41,A5,I,I/O,INPUT,,,,,,,,,
P42,DOUT_1,I,I/O,INPUT,,,,,,,,,
P43,GND,,GND,,,,,,,,,,
P44,X_CS_2,O,I/O,OUTPUT,,,,,,,,,
P45,A4,I,I/O,INPUT,,,,,,,,,
P46,START_2,O,I/O,OUTPUT,,,,,,,,,
P47,A0,I,I/O,INPUT,,,,,,,,,
P48,A1,I,I/O,INPUT,,,,,,,,,
P49,A2,I,I/O,INPUT,,,,,,,,,
P50,A3,I,I/O,INPUT,,,,,,,,,
P51,VCC,,VCC,,,,,,,,,,
P52,DIN_FPGA,I,I/O,INPUT,,,,,,,,,
P53,SCLK_FPGA,I,I/O,INPUT,,,,,,,,,
P54,X_SHDN,I,I/O,INPUT,,,,,,,,,
P55,START,I,I/O,INPUT,,,,,,,,,
P56,B1,I,I/O,INPUT,,,,,,,,,
P57,X_RESET,O,I/O,OUTPUT,,,,,,,,,
P58,DOUT_2,I,I/O,INPUT,,,,,,,,,
P59,GND,,GND,,,,,,,,,,
P60,DIN,O,I/O,OUTPUT,,,,,,,,,
P61,SCLK,O,I/O,OUTPUT,,,,,,,,,
P62,TCK,,I/O/TCK,,,,,,,,,,
P63,X_CS_3,O,I/O,OUTPUT,,,,,,,,,
P64,START_3,O,I/O,OUTPUT,,,,,,,,,
P65,WSTRB,I,I/O,INPUT,,,,,,,,,
