Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5     -29340mil     -17929mil       8605mil      10571mil     -29340mil     -17929mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5     -29340mil     -17929mil       -675mil      10551mil     -29340mil     -17929mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5     -29340mil     -17929mil       -395mil      -1359mil     -29340mil     -17929mil  T        180.00 Comment        
R18L       SMD_0805              7375mil       2676mil       7375mil       2676mil       7375mil       2721mil  T        270.00 Res 0805       
R18K       SMD_0805              5980mil       2716mil       5980mil       2716mil       5980mil       2761mil  T        270.00 Res 0805       
R18J       SMD_0805              4583mil       2715mil       4583mil       2715mil       4583mil       2760mil  T        270.00 Res 0805       
R18I       SMD_0805              3230mil       2681mil       3230mil       2681mil       3230mil       2726mil  T        270.00 Res 0805       
R18H       SMD_0805              1785mil       2671mil       1785mil       2671mil       1785mil       2716mil  T        270.00 Res 0805       
R18G       SMD_0805               375mil       2613mil        375mil       2613mil        375mil       2658mil  T        270.00 Res 0805       
R18F       SMD_0805              7390mil       7913mil       7390mil       7913mil       7390mil       7958mil  T        270.00 Res 0805       
R18E       SMD_0805              5975mil       7936mil       5975mil       7936mil       5975mil       7981mil  T        270.00 Res 0805       
R18D       SMD_0805              4570mil       7951mil       4570mil       7951mil       4570mil       7996mil  T        270.00 Res 0805       
R18C       SMD_0805              3171mil       7945mil       3171mil       7945mil       3171mil       7990mil  T        270.00 Res 0805       
R18B       SMD_0805              1774mil       7937mil       1774mil       7937mil       1774mil       7982mil  T        270.00 Res 0805       
R18A       SMD_0805               375mil       7926mil        375mil       7926mil        375mil       7971mil  T        270.00 Res 0805       
C21L       SMD_0805              7285mil       2771mil       7285mil       2771mil       7285mil       2726mil  T         90.00 1u             
C21K       SMD_0805              5895mil       2806mil       5895mil       2806mil       5895mil       2761mil  T         90.00 1u             
C21J       SMD_0805              4509mil       2805mil       4509mil       2805mil       4509mil       2760mil  T         90.00 1u             
C21I       SMD_0805              3145mil       2771mil       3145mil       2771mil       3145mil       2726mil  T         90.00 1u             
C21H       SMD_0805              1715mil       2761mil       1715mil       2761mil       1715mil       2716mil  T         90.00 1u             
C21G       SMD_0805               302mil       2773mil        302mil       2773mil        302mil       2728mil  T         90.00 1u             
C21F       SMD_0805              7318mil       8002mil       7318mil       8002mil       7318mil       7957mil  T         90.00 1u             
C21E       SMD_0805              5890mil       8026mil       5890mil       8026mil       5890mil       7981mil  T         90.00 1u             
C21D       SMD_0805              4465mil       8041mil       4465mil       8041mil       4465mil       7996mil  T         90.00 1u             
C21C       SMD_0805              3100mil       8034mil       3100mil       8034mil       3100mil       7989mil  T         90.00 1u             
C21B       SMD_0805              1705mil       8026mil       1705mil       8026mil       1705mil       7981mil  T         90.00 1u             
C21A       SMD_0805               300mil       8016mil        300mil       8016mil        300mil       7971mil  T         90.00 1u             
R13        SMD_0805              2697mil       2649mil       2697mil       2649mil       2697mil       2604mil  B         90.00 Res 0805       
U3         SMD_SOT23_3           7161mil       9191mil       7161mil       9191mil       7204mil       9154mil  T         90.00 DS2411         
U2         SOP8_N                6852mil       9361mil       6852mil       9361mil   6753.575mil       9436mil  T        360.00 M24C32RMN1     
S3         CAS-120B              7057mil       9018mil       7057mil       9018mil   7125.898mil   8941.228mil  B        180.00 CJS-1200TB     
Q3         SMD_SOT23_3           7331mil       9193mil       7331mil       9193mil       7374mil       9156mil  T         90.00 FDV304P        
C7         SMD_0805              6646mil       9386mil       6646mil       9386mil       6646mil       9341mil  T         90.00 Cap SMD        
U1         M08A_M                 710mil       9388mil        710mil       9388mil        635mil   9291.543mil  T         90.00 LM555CMX       
R12        SMD_0805               750mil       9639mil        750mil       9639mil        750mil       9684mil  T        270.00 Res 0805       
C6         SMD_0805               600mil       9640mil        600mil       9640mil        600mil       9685mil  T        270.00 Cap SMD        
C5         SMD_0805               685mil       9640mil        685mil       9640mil        685mil       9595mil  T         90.00 1u             
P4         HDR1X2_for_IDC        1287mil       9253mil       1287mil       9203mil       1287mil       9203mil  B         90.00 Header 2       
K1K        RELAY,_TYCO_RT1    5852.35mil   2456.693mil   5999.988mil   2948.819mil   5999.988mil   2948.819mil  B        270.00 Dual-Latching, 24V
J1E        PESC-02-12-02-01-S-VT-LC   6365.512mil   7717.323mil   6365.512mil   7717.323mil   6215.512mil   7617.323mil  T          0.00 PESC-02-12-02-01-S-VT-LC
D5         SOT-353           2919.528mil   3597.165mil       2890mil   3632.598mil       2890mil   3632.598mil  B        270.00 PESD3V3L4UG    
D4         SOT-353           2849.528mil   3857.165mil       2820mil   3892.598mil       2820mil   3892.598mil  B        270.00 PESD3V3L4UG    
D3         SOT-353           2849.528mil   3742.165mil       2820mil   3777.598mil       2820mil   3777.598mil  B        270.00 PESD3V3L4UG    
D2         SOT-353           2849.528mil   3972.165mil       2820mil   4007.598mil       2820mil   4007.598mil  B        270.00 PESD3V3L4UG    
C1         2012[0805]             567mil   9084.079mil        567mil   9084.079mil        567mil    9121.48mil  B        270.00 1u             
J1A        PESC-02-12-02-01-S-VT-LC    765.512mil   7717.323mil    765.512mil   7717.323mil    615.512mil   7617.323mil  T          0.00 PESC-02-12-02-01-S-VT-LC
J1B        PESC-02-12-02-01-S-VT-LC   2165.512mil   7717.323mil   2165.512mil   7717.323mil   2015.512mil   7617.323mil  T          0.00 PESC-02-12-02-01-S-VT-LC
J1C        PESC-02-12-02-01-S-VT-LC   3565.512mil   7717.323mil   3565.512mil   7717.323mil   3415.512mil   7617.323mil  T          0.00 PESC-02-12-02-01-S-VT-LC
J1D        PESC-02-12-02-01-S-VT-LC   4965.512mil   7717.323mil   4965.512mil   7717.323mil   4815.512mil   7617.323mil  T          0.00 PESC-02-12-02-01-S-VT-LC
J1F        PESC-02-12-02-01-S-VT-LC   7765.512mil   7717.323mil   7765.512mil   7717.323mil   7615.512mil   7617.323mil  T          0.00 PESC-02-12-02-01-S-VT-LC
J1G        PESC-02-12-02-01-S-VT-LC      765.5mil   2466.142mil      765.5mil   2466.142mil      615.5mil   2366.142mil  T          0.00 PESC-02-12-02-01-S-VT-LC
J1H        PESC-02-12-02-01-S-VT-LC     2165.5mil   2466.142mil     2165.5mil   2466.142mil     2015.5mil   2366.142mil  T          0.00 PESC-02-12-02-01-S-VT-LC
J1I        PESC-02-12-02-01-S-VT-LC     3565.5mil   2466.142mil     3565.5mil   2466.142mil     3415.5mil   2366.142mil  T          0.00 PESC-02-12-02-01-S-VT-LC
J1J        PESC-02-12-02-01-S-VT-LC     4965.5mil   2466.142mil     4965.5mil   2466.142mil     4815.5mil   2366.142mil  T          0.00 PESC-02-12-02-01-S-VT-LC
J1K        PESC-02-12-02-01-S-VT-LC     6365.5mil   2466.142mil     6365.5mil   2466.142mil     6215.5mil   2366.142mil  T          0.00 PESC-02-12-02-01-S-VT-LC
