Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

           TARGET_MECHANICAL_5       -930mil       -810mil      27996mil      16624mil       -930mil       -810mil  T         90.00 Comment        
           TARGET_MECHANICAL_5       -930mil       -810mil      28035mil      27703mil       -930mil       -810mil  T         90.00 Comment        
           TARGET_MECHANICAL_5       -930mil       -810mil      36851mil      27683mil       -930mil       -810mil  T         90.00 Comment        
C12        2012[0805]           29817mil      18281mil      29817mil      18281mil  29854.401mil      18281mil  B        180.00 1u             
U20        TO-252(D-PAK)__POWERPAD  30131.268mil      18190mil      30148mil      18190mil   29976.74mil  18100.236mil  B        360.00 Voltage Reg, Fixed
TP13       SMD_TEST_POINT       34249mil  27013.079mil      34249mil  27013.079mil      34249mil  27013.079mil  B         90.00 Test Point SMD 
TP12       SMD_TEST_POINT       33907mil  27006.079mil      33907mil  27006.079mil      33907mil  27006.079mil  B         90.00 Test Point SMD 
TP9        SMD_TEST_POINT       32967mil  26991.079mil      32967mil  26991.079mil      32967mil  26991.079mil  B        270.00 Test Point SMD 
TP8        PAD_80D_052H         35362mil  26908.079mil      35362mil  26908.079mil      35362mil  26908.079mil  B        180.00 Test point     
TP7        PAD_80D_052H         29922mil  26872.079mil      29922mil  26872.079mil      29922mil  26872.079mil  B        180.00 Test point     
TP6        PAD_80D_052H         35312mil  21091.079mil      35312mil  21091.079mil      35312mil  21091.079mil  B        180.00 Test point     
TP5        SMD_TEST_POINT       32440mil  26669.079mil      32440mil  26669.079mil      32440mil  26669.079mil  B         90.00 Test Point SMD 
TP4        SMD_TEST_POINT       32435mil  26214.079mil      32435mil  26214.079mil      32435mil  26214.079mil  B         90.00 Test Point SMD 
R11        SMD_0805             32665mil  26579.079mil      32665mil  26579.079mil      32665mil  26624.079mil  B        270.00 Res 0805       
R10        SMD_0805             32750mil  26579.079mil      32750mil  26579.079mil      32750mil  26534.079mil  B         90.00 Res 0805       
R9         SMD_0805             32660mil  26289.079mil      32660mil  26289.079mil      32660mil  26244.079mil  B         90.00 Res 0805       
R8         SMD_0805             32750mil  26289.079mil      32750mil  26289.079mil      32750mil  26334.079mil  B        270.00 Res 0805       
P1         HDR1X4_for_IDC       32921mil  26485.079mil      32921mil  26335.079mil      32921mil  26335.079mil  B         90.00 Header 4       
C4         SMD_0805             32575mil  26579.079mil      32575mil  26579.079mil      32575mil  26534.079mil  B         90.00 Cap SMD        
C3         SMD_0805             32575mil  26289.079mil      32575mil  26289.079mil      32575mil  26334.079mil  B        270.00 Cap SMD        
U4L        SMD_SOT23_5      35654.988mil  19717.819mil  35654.988mil  19717.819mil  35697.988mil  19680.819mil  T        270.00 100 V/V        
U4K        SMD_SOT23_5      34254.988mil  19717.819mil  34254.988mil  19717.819mil  34297.988mil  19680.819mil  T        270.00 100 V/V        
U4J        SMD_SOT23_5      32854.988mil  19717.819mil  32854.988mil  19717.819mil  32897.988mil  19680.819mil  T        270.00 100 V/V        
U4I        SMD_SOT23_5      31454.988mil  19717.819mil  31454.988mil  19717.819mil  31497.988mil  19680.819mil  T        270.00 100 V/V        
U4H        SMD_SOT23_5      30054.988mil  19717.819mil  30054.988mil  19717.819mil  30097.988mil  19680.819mil  T        270.00 100 V/V        
U4G        SMD_SOT23_5      28654.988mil  19717.819mil  28654.988mil  19717.819mil  28697.988mil  19680.819mil  T        270.00 100 V/V        
U4F        SMD_SOT23_5          35655mil      24969mil      35655mil      24969mil      35698mil      24932mil  T        270.00 100 V/V        
U4E        SMD_SOT23_5          34255mil      24969mil      34255mil      24969mil      34298mil      24932mil  T        270.00 100 V/V        
U4D        SMD_SOT23_5          32855mil      24969mil      32855mil      24969mil      32898mil      24932mil  T        270.00 100 V/V        
U4C        SMD_SOT23_5          31455mil      24969mil      31455mil      24969mil      31498mil      24932mil  T        270.00 100 V/V        
U4B        SMD_SOT23_5          30055mil      24969mil      30055mil      24969mil      30098mil      24932mil  T        270.00 100 V/V        
U4A        SMD_SOT23_5          28655mil      24969mil      28655mil      24969mil      28698mil      24932mil  T        270.00 100 V/V        
P3         MMCX2.54-V5          33696mil  26595.079mil      33696mil  26595.079mil      33696mil  26595.079mil  B        180.00 COAX MMCX      
BB6        Bus_Bar_1.5"_pitch      32610mil      20319mil      35610mil      20319mil      35610mil      20319mil  B        180.00 Bus Bar        
BB5        Bus_Bar_1.5"_pitch      36510mil      22919mil      36510mil      19919mil      36510mil      19919mil  B         90.00 Bus Bar        
BB4        Bus_Bar_1.5"_pitch      32610mil      25569mil      35610mil      25569mil      35610mil      25569mil  B        180.00 Bus Bar        
BB3        Bus_Bar_1.5"_pitch      32610mil      18819mil      35610mil      18819mil      35610mil      18819mil  B        180.00 Bus Bar        
BB2        Bus_Bar_1.5"_pitch      36710mil      21419mil      36710mil      18419mil      36710mil      18419mil  B         90.00 Bus Bar        
BB1        Bus_Bar_1.5"_pitch      32610mil      24069mil      35610mil      24069mil      35610mil      24069mil  B        180.00 Bus Bar        
S2         B3U-1000P            29137mil      26771mil      29137mil      26771mil      29208mil      26771mil  B        180.00 B3U-1000P      
S1         B3U-1000P            29157mil      26167mil      29157mil      26167mil      29228mil      26167mil  B        180.00 B3U-1000P      
C2L        SMD_0805         35659.988mil  19607.819mil  35659.988mil  19607.819mil  35704.988mil  19607.819mil  T        180.00 Cap SMD        
C2K        SMD_0805         34259.988mil  19607.819mil  34259.988mil  19607.819mil  34304.988mil  19607.819mil  T        180.00 Cap SMD        
C2J        SMD_0805         32859.988mil  19607.819mil  32859.988mil  19607.819mil  32904.988mil  19607.819mil  T        180.00 Cap SMD        
C2I        SMD_0805         31459.988mil  19607.819mil  31459.988mil  19607.819mil  31504.988mil  19607.819mil  T        180.00 Cap SMD        
C2H        SMD_0805         30059.988mil  19607.819mil  30059.988mil  19607.819mil  30104.988mil  19607.819mil  T        180.00 Cap SMD        
C2G        SMD_0805         28659.988mil  19607.819mil  28659.988mil  19607.819mil  28704.988mil  19607.819mil  T        180.00 Cap SMD        
C2F        SMD_0805             35660mil      24859mil      35660mil      24859mil      35705mil      24859mil  T        180.00 Cap SMD        
C2E        SMD_0805             34260mil      24859mil      34260mil      24859mil      34305mil      24859mil  T        180.00 Cap SMD        
C2D        SMD_0805             32860mil      24859mil      32860mil      24859mil      32905mil      24859mil  T        180.00 Cap SMD        
C2C        SMD_0805             31460mil      24859mil      31460mil      24859mil      31505mil      24859mil  T        180.00 Cap SMD        
C2B        SMD_0805             30060mil      24859mil      30060mil      24859mil      30105mil      24859mil  T        180.00 Cap SMD        
C2A        SMD_0805             28660mil      24859mil      28660mil      24859mil      28705mil      24859mil  T        180.00 Cap SMD        
U23        DD8/DFN8         31638.979mil  17808.997mil  31638.979mil  17808.997mil  31694.589mil  17838.525mil  B        180.00 LTC3631        
TP29       SMD_TEST_POINT       32585mil  26974.079mil      32585mil  26974.079mil      32585mil  26974.079mil  B         90.00 Test Point SMD 
TP28       SMD_TEST_POINT       32204mil  26978.079mil      32204mil  26978.079mil      32204mil  26978.079mil  B        270.00 Test Point SMD 
TP27       SMD_TEST_POINT       31066mil  26996.079mil      31066mil  26996.079mil      31066mil  26996.079mil  B         90.00 Test Point SMD 
U22        S8_M                 30935mil  17933.598mil      30935mil  17933.598mil      31010mil  17837.142mil  B         90.00 LTC1144        
R40        SMD_0805         31777.979mil  17735.997mil  31777.979mil  17735.997mil  31777.979mil  17690.997mil  B         90.00 Res 0805       
R39        SMD_0805         31458.979mil  17783.997mil  31458.979mil  17783.997mil  31413.979mil  17783.997mil  B          0.00 Res 0805       
R38        SMD_0805         31413.979mil  18008.997mil  31413.979mil  18008.997mil  31368.979mil  18008.997mil  B          0.00 Res 0805       
R37        SMD_0805         31523.979mil  17823.997mil  31523.979mil  17823.997mil  31523.979mil  17868.997mil  T        270.00 Res 0805       
R36        SMD_0805         31458.979mil  17848.997mil  31458.979mil  17848.997mil  31503.979mil  17848.997mil  B        180.00 Res 0805       
R35        SMD_0805         31593.979mil  17713.997mil  31593.979mil  17713.997mil  31548.979mil  17713.997mil  T          0.00 Res 0805       
L3         Inductor_TDC_SLF  31698.979mil  18153.997mil  31698.979mil  18153.997mil  31698.979mil  18028.013mil  B          0.00 445-3872-2-ND  
C20        SMD_0805         31458.979mil  17718.997mil  31458.979mil  17718.997mil  31503.979mil  17718.997mil  B        180.00 Cap SMD        
C19        SMD_1206             31509mil  17926.079mil      31509mil  17926.079mil      31564mil  17926.079mil  B        180.00 Low ESR        
C18        SMD_1206         31753.979mil  17923.997mil  31753.979mil  17923.997mil  31698.979mil  17923.997mil  B          0.00 Low ESR        
C17        SMD_CAP_3216         30925mil  17733.598mil      30925mil  17733.598mil      30980mil  17733.598mil  B        360.00 16V            
C16        SMD_CAP_3216         30930mil  18148.598mil      30930mil  18148.598mil      30985mil  18148.598mil  B        360.00 16V            
C15        SMD_0805         33203.801mil  18063.344mil  33203.801mil  18063.344mil  33203.801mil  18018.344mil  B         90.00 25V            
U21        DD12/DFN12       33104.509mil   18010.43mil  33148.801mil  17953.344mil  33148.801mil  17953.344mil  B         90.00 LT3682         
R34        SMD_0805         33123.801mil  17858.344mil  33123.801mil  17858.344mil  33123.801mil  17813.344mil  T         90.00 Res 0805       
R33        SMD_0805         33213.801mil  17858.344mil  33213.801mil  17858.344mil  33213.801mil  17813.344mil  B         90.00 Res 0805       
R32        SMD_0805         33123.801mil  17853.344mil  33123.801mil  17853.344mil  33123.801mil  17898.344mil  B        270.00 Res 0805       
R31        SMD_0805         33198.801mil  18263.344mil  33198.801mil  18263.344mil  33198.801mil  18308.344mil  B        270.00 Res 0805       
R30        SMD_0805         33118.801mil  18263.344mil  33118.801mil  18263.344mil  33118.801mil  18308.344mil  B        270.00 Res 0805       
R29        SMD_0805         33053.801mil  18158.344mil  33053.801mil  18158.344mil  33008.801mil  18158.344mil  T        360.00 Res 0805       
L2         Inductor_TDC_SLF  32593.801mil  18063.344mil  32593.801mil  18063.344mil  32719.785mil  18063.344mil  B         90.00 445-3869-1-ND  
D1         DO-214AB         32884.803mil  18156.323mil  32884.803mil  18156.323mil  32884.803mil  18034.512mil  B         90.00 SL43-E3/57T    
C14        SMD_0805         33211.801mil  17863.344mil  33211.801mil  17863.344mil  33211.801mil  17908.344mil  T        270.00 Cap SMD        
C13        SMD_0805         32523.801mil  18258.344mil  32523.801mil  18258.344mil  32568.801mil  18258.344mil  B        180.00 16V            
C11        SMD_0805         32948.801mil  17913.344mil  32948.801mil  17913.344mil  32903.801mil  17913.344mil  B        360.00 Cap SMD        
TP17       SMD_TEST_POINT       31573mil  26989.079mil      31573mil  26989.079mil      31573mil  26989.079mil  B         90.00 Test Point SMD 
C10        2012[0805]           29820mil      18101mil      29820mil      18101mil  29857.401mil      18101mil  B        180.00 1u             
U5         SuperFin_Footprint  31841.957mil  22195.023mil    30995.5mil  20550.142mil  31469.122mil  21969.433mil  B         90.00 SuperFin Module
TP11L      PAD_80D_052H     35694.988mil  20606.819mil  35694.988mil  20606.819mil  35694.988mil  20606.819mil  B        360.00 Test point     
TP11K      PAD_80D_052H     34294.988mil  20606.819mil  34294.988mil  20606.819mil  34294.988mil  20606.819mil  B        360.00 Test point     
TP11J      PAD_80D_052H       32495.5mil  20040.142mil    32495.5mil  20040.142mil    32495.5mil  20040.142mil  B        360.00 Test point     
TP11I      PAD_80D_052H       31105.5mil  20060.142mil    31105.5mil  20060.142mil    31105.5mil  20060.142mil  B        360.00 Test point     
TP11H      PAD_80D_052H     30094.988mil  20606.819mil  30094.988mil  20606.819mil  30094.988mil  20606.819mil  B        360.00 Test point     
TP11G      PAD_80D_052H     28694.988mil  20606.819mil  28694.988mil  20606.819mil  28694.988mil  20606.819mil  B        360.00 Test point     
