"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R12","SMD_0805","-1281.539mil","2505mil","-1281.539mil","2505mil","-1236.539mil","2505mil","T","180.00","Res 0805"
"R11","SMD_0805","-1280mil","2665mil","-1280mil","2665mil","-1325mil","2665mil","T","360.00","Res 0805"
"Q2","TO-252(D-PAK)__POWERPAD","-1268.74mil","2937.638mil","-1268.74mil","2954.37mil","-1358.504mil","2783.11mil","T","90.00","IRF5303P"
"C5","SMD_0805","-1282.953mil","2585mil","-1282.953mil","2585mil","-1327.953mil","2585mil","T","360.00","Cap SMD"
"U4","TEXAS_INST_SWITCHING_REGULATOR","-4270.669mil","2616.5mil","-3895.669mil","1929mil","-4645.669mil","1929mil","T","90.00","6A Pos Switching Regulator"
"U3","TEXAS_INST_SWITCHING_REGULATOR","-5729.331mil","2618.106mil","-5354.331mil","1930.606mil","-6104.331mil","1930.606mil","T","90.00","6A Pos Switching Regulator"
"U2","TO-252(D-PAK)__POWERPAD","-4062.953mil","1533.268mil","-4062.953mil","1550mil","-3973.189mil","1378.74mil","B","90.00","Voltage Reg, Adj"
"TP13","PAD_80D_052H","-4747.953mil","1250mil","-4747.953mil","1250mil","-4747.953mil","1250mil","T","90.00","Test point"
"TP12","PAD_80D_052H","-3147.953mil","1985mil","-3147.953mil","1985mil","-3147.953mil","1985mil","T","90.00","Test point"
"TP11","PAD_80D_052H","-1712.953mil","665mil","-1712.953mil","665mil","-1712.953mil","665mil","T","90.00","Test point"
"TP10","PAD_80D_052H","-1707.953mil","350mil","-1707.953mil","350mil","-1707.953mil","350mil","T","90.00","Test point"
"TP9","PAD_80D_052H","-3700.787mil","3619mil","-3700.787mil","3619mil","-3700.787mil","3619mil","T","90.00","Test point"
"TP8","PAD_80D_052H","-5167.48mil","3619mil","-5167.48mil","3619mil","-5167.48mil","3619mil","T","90.00","Test point"
"TP7","PAD_80D_052H","-1282.953mil","2235mil","-1282.953mil","2235mil","-1282.953mil","2235mil","T","90.00","Test point"
"TP6","PAD_80D_052H","-299.606mil","574.019mil","-299.606mil","574.019mil","-299.606mil","574.019mil","T","90.00","Test point"
"TP5","PAD_80D_052H","-1097.953mil","3670mil","-1097.953mil","3670mil","-1097.953mil","3670mil","T","90.00","Test point"
"TP4","PAD_80D_052H","-4997.953mil","2290mil","-4997.953mil","2290mil","-4997.953mil","2290mil","T","90.00","Test point"
"TP3","PAD_80D_052H","-3192.953mil","3550mil","-3192.953mil","3550mil","-3192.953mil","3550mil","T","90.00","Test point"
"R7","SMD_0805","-4094.488mil","2559.055mil","-4094.488mil","2559.055mil","-4139.488mil","2559.055mil","B","360.00","Res 0805"
"R6","SMD_0805","-5551.181mil","2555.606mil","-5551.181mil","2555.606mil","-5596.181mil","2555.606mil","B","360.00","Res 0805"
"R5","SMD_0805","-3817.953mil","1378.74mil","-3817.953mil","1378.74mil","-3772.953mil","1378.74mil","B","180.00","Res 0805"
"R4","SMD_0805","-4306.539mil","1451.575mil","-4306.539mil","1451.575mil","-4261.539mil","1451.575mil","B","180.00","Res 0805"
"P9","HDR1X4_for_IDC","-3360mil","2150mil","-3360mil","2000mil","-3360mil","2000mil","T","90.00","Header 4"
"P8","HDR1X4_for_IDC","-4210mil","3660mil","-4060mil","3660mil","-4060mil","3660mil","T","180.00","Header 4"
"P7","HDR1X4_for_IDC","-5710mil","3660mil","-5560mil","3660mil","-5560mil","3660mil","T","180.00","Header 4"
"P6","HDR1X4_for_IDC","-625.532mil","3450mil","-625.532mil","3300mil","-625.532mil","3300mil","T","90.00","Header 4"
"D1","SMC","-4015.748mil","1243mil","-4015.748mil","1243mil","-3878.937mil","1243mil","B","180.00","S5BC-13-F"
"C30","CAP,_Thru_Hole_10mm_dia","-3543.307mil","3208.661mil","-3543.307mil","3208.661mil","-3543.307mil","3307.087mil","T","90.00","35V"
