Release 8.1i - Fit J.30
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

10- 6-2009  2:33PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  PMD_Motor_Drive_interface.ngd
output file: PMD_Motor_Drive_interface_pad.csv
Part type:   xc2c256
Speed grade: -7
Package:     pq208

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,,VCC,VCC,,,,,,,,,,
P2,TIE,,I/O,,,2,,,,,,,
P3,TIE,,I/O/GTS2,,,2,,,,,,,
P4,TIE,,I/O,,,2,,,,,,,
P5,TIE,,I/O/GTS3,,,2,,,,,,,
P6,TIE,,I/O,,,2,,,,,,,
P7,TIE,,I/O/GTS0,,,2,,,,,,,
P8,TIE,,I/O,,,2,,,,,,,
P9,TIE,,I/O/GTS1,,,2,,,,,,,
P10,TIE,,I/O,,,2,,,,,,,
P11,,VCCAUX,VAUX,,,,,,,,,,
P12,TIE,,I/O,,,2,,,,,,,
P13,GND,,GND,,,,,,,,,,
P14,TIE,,I/O,,,2,,,,,,,
P15,TIE,,I/O,,,2,,,,,,,
P16,TIE,,I/O,,,2,,,,,,,
P17,TIE,,I/O,,,2,,,,,,,
P18,TIE,,I/O,,,2,,,,,,,
P19,TIE,,I/O,,,2,,,,,,,
P20,TIE,,I/O,,,2,,,,,,,
P21,TIE,,I/O,,,2,,,,,,,
P22,TIE,,I/O,,,2,,,,,,,
P23,TIE,,I/O,,,2,,,,,,,
P24,GND,,GND,,,,,,,,,,
P25,TIE,,I/O,,,2,,,,,,,
P26,,VCCIO-1.8,VCCIO,,,2,,,,,,,
P27,TIE,,I/O,,,1,,,,,,,
P28,HA2,I,I/O,INPUT,LVCMOS18,1,,FAST,,,,
P29,n0t,I/O,I/O,BIDIR,LVCMOS18,1,,FAST,,,,
P30,HA4,I,I/O,INPUT,LVCMOS18,1,,FAST,,,,
P31,n0s,I/O,I/O,BIDIR,LVCMOS18,1,,FAST,,,,
P32,TIE,,I/O,,,1,,,,,,,
P33,,VCCIO-1.8,VCCIO,,,1,,,,,,,
P34,HA7,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P35,TIE,,I/O,,,1,,,,,,,
P36,HA9,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P37,HA10,I,I/O,INPUT,LVCMOS18,1,,FAST,,,,
P38,HA11,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P39,HA12,I,I/O,INPUT,LVCMOS18,1,,FAST,,,,
P40,TIE,,I/O,,,1,,,,,,,
P41,TIE,,I/O,,,1,,,,,,,
P42,GND,,GND,,,,,,,,,,
P43,TIE,,I/O,,,1,,,,,,,
P44,TIE,,I/O/GCK0,,,1,,,,,,,
P45,TIE,,I/O,,,1,,,,,,,
P46,TIE,,I/O/GCK1,,,1,,,,,,,
P47,TIE,,I/O,,,1,,,,,,,
P48,TIE,,I/O,,,1,,,,,,,
P49,TIE,,I/O,,,1,,,,,,,
P50,TIE,,I/O,,,1,,,,,,,
P51,TIE,,I/O/CDR,,,1,,,,,,,
P52,GND,,GND,,,,,,,,,,
P53,,VCC,VCC,,,,,,,,,,
P54,HA13,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P55,TIE,,I/O/GCK2,,,1,,,,,,,
P56,HA14,I,I/O,INPUT,LVCMOS18,1,,FAST,,,,
P57,HA15,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P58,HA16,I,I/O/DGE,INPUT,LVCMOS18,1,,FAST,,,,
P59,,VCCIO-1.8,VCCIO,,,1,,,,,,,
P60,HA17,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P61,HA18,I,I/O,INPUT,LVCMOS18,1,,FAST,,,,
P62,HA19,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P63,HA20,I,I/O,INPUT,LVCMOS18,1,,FAST,,,,
P64,HA22,I,I/O,INPUT,LVCMOS18,1,,FAST,,,,
P65,HA21,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P66,HA24,I,I/O,INPUT,LVCMOS18,1,,FAST,,,,
P67,HA23,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P68,GND,,GND,,,,,,,,,,
P69,HA26,I,I/O,INPUT,LVCMOS18,1,,FAST,,,,
P70,HA25,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P71,HA28,I,I/O,INPUT,LVCMOS18,1,,FAST,,,,
P72,HA27,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P73,HA30,I,I/O,INPUT,LVCMOS18,1,,FAST,,,,
P74,HA29,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P75,HA32,I,I/O,INPUT,LVCMOS18,1,,FAST,,,,
P76,HA31,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P77,HA34,I,I/O,INPUT,LVCMOS18,1,,FAST,,,,
P78,HA33,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P79,,VCCIO-1.8,VCCIO,,,1,,,,,,,
P80,TIE,,I/O,,,1,,,,,,,
P81,GND,,GND,,,,,,,,,,
P82,TIE,,I/O,,,1,,,,,,,
P83,TIE,,I/O,,,1,,,,,,,
P84,TIE,,I/O,,,1,,,,,,,
P85,TIE,,I/O,,,1,,,,,,,
P86,TIE,,I/O,,,1,,,,,,,
P87,TIE,,I/O,,,1,,,,,,,
P88,TIE,,I/O,,,1,,,,,,,
P89,TIE,,I/O,,,1,,,,,,,
P90,TIE,,I/O,,,1,,,,,,,
P91,TIE,,I/O,,,1,,,,,,,
P92,,VCCIO-1.8,VCCIO,,,1,,,,,,,
P93,GND,,GND,,,,,,,,,,
P94,TDI,,TDI,,,,,,,,,,
P95,TIE,,I/O,,,1,,,,,,,
P96,TMS,,TMS,,,,,,,,,,
P97,TIE,,I/O,,,1,,,,,,,
P98,TCK,,TCK,,,,,,,,,,
P99,TIE,,I/O,,,1,,,,,,,
P100,TIE,,I/O,,,1,,,,,,,
P101,TIE,,I/O,,,1,,,,,,,
P102,TIE,,I/O,,,1,,,,,,,
P103,TIE,,I/O,,,1,,,,,,,
P104,GND,,GND,,,,,,,,,,
P105,,VCCIO-1.8,VCCIO,,,1,,,,,,,
