Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator TARGET_MECHANICAL_5 -11141.732mil  -10236.22mil       7470mil       3702mil -11141.732mil  -10236.22mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5 -11141.732mil  -10236.22mil       -760mil       3730mil -11141.732mil  -10236.22mil  T        180.00 Comment        
Designator TARGET_MECHANICAL_5 -11141.732mil  -10236.22mil       -739mil      -1854mil -11141.732mil  -10236.22mil  T        180.00 Comment        
TP12       PAD_80D_052H          1714mil       2025mil       1714mil       2025mil       1714mil       2025mil  T         90.00 Test point     
TP11       PAD_80D_052H          4562mil        551mil       4562mil        551mil       4562mil        551mil  T         90.00 Test point     
TP10       PAD_80D_052H          4589mil       1618mil       4589mil       1618mil       4589mil       1618mil  T         90.00 Test point     
TP7        PAD_80D_052H          3783mil       1778mil       3783mil       1778mil       3783mil       1778mil  T         90.00 Test point     
TP4        PAD_80D_052H           881mil       2467mil        881mil       2467mil        881mil       2467mil  T         90.00 Test point     
TP6H       PAD_80D_052H      4190.267mil   1328.999mil   4190.267mil   1328.999mil   4190.267mil   1328.999mil  T         90.00 Test point     
TP6G       PAD_80D_052H      3639.084mil   1328.999mil   3639.084mil   1328.999mil   3639.084mil   1328.999mil  T         90.00 Test point     
TP6F       PAD_80D_052H      3087.905mil   1328.999mil   3087.904mil   1328.999mil   3087.905mil   1328.999mil  T         90.00 Test point     
TP6E       PAD_80D_052H      2536.722mil   1328.999mil   2536.721mil   1328.999mil   2536.722mil   1328.999mil  T         90.00 Test point     
TP6D       PAD_80D_052H      1985.541mil   1328.999mil    1985.54mil   1328.999mil   1985.541mil   1328.999mil  T         90.00 Test point     
TP6C       PAD_80D_052H       1434.36mil   1328.999mil   1434.359mil   1328.999mil    1434.36mil   1328.999mil  T         90.00 Test point     
TP6B       PAD_80D_052H       883.179mil   1328.999mil    883.178mil   1328.999mil    883.179mil   1328.999mil  T         90.00 Test point     
TP6A       PAD_80D_052H           332mil   1328.999mil        332mil       1329mil        332mil   1328.999mil  T         90.00 Test point     
TP5H       PAD_80D_052H      3936.267mil   1033.999mil   3936.267mil   1033.999mil   3936.267mil   1033.999mil  T         90.00 Test point     
TP5G       PAD_80D_052H      3385.084mil   1033.999mil   3385.084mil   1033.999mil   3385.084mil   1033.999mil  T         90.00 Test point     
TP5F       PAD_80D_052H      2833.905mil   1033.999mil   2833.904mil   1033.999mil   2833.905mil   1033.999mil  T         90.00 Test point     
TP5E       PAD_80D_052H      2282.722mil   1033.999mil   2282.721mil   1033.999mil   2282.722mil   1033.999mil  T         90.00 Test point     
TP5D       PAD_80D_052H      1731.541mil   1033.999mil    1731.54mil   1033.999mil   1731.541mil   1033.999mil  T         90.00 Test point     
TP5C       PAD_80D_052H       1180.36mil   1033.999mil   1180.359mil   1033.999mil    1180.36mil   1033.999mil  T         90.00 Test point     
TP5B       PAD_80D_052H       629.179mil   1033.999mil    629.178mil   1033.999mil    629.179mil   1033.999mil  T         90.00 Test point     
TP5A       PAD_80D_052H            78mil   1033.999mil         78mil       1034mil         78mil   1033.999mil  T         90.00 Test point     
U9         TO-220_w/Heatsink_7136DG        390mil       1988mil    389.999mil   1889.575mil        490mil       1988mil  T        360.00 Voltage Reg, Pos Fixed
U8         SO-8_M                3686mil       2115mil       3686mil       2115mil   3589.543mil       2190mil  T        360.00 4.096V +/-0.5ppm
U7D        TSSOP28_Exposed_Pad   6755.903mil   1240.092mil   6589.564mil   1127.888mil   6589.565mil   1127.887mil  T        360.00 MAX1968        
U7C        TSSOP28_Exposed_Pad   6204.724mil   1240.091mil   6038.385mil   1127.886mil   6038.385mil   1127.887mil  T        360.00 MAX1968        
U7B        TSSOP28_Exposed_Pad   5653.541mil   1240.091mil   5487.202mil   1127.886mil   5487.203mil   1127.887mil  T        360.00 MAX1968        
U7A        TSSOP28_Exposed_Pad   5102.362mil   1240.092mil   4936.023mil   1127.887mil   4936.024mil   1127.887mil  T        360.00 MAX1968        
U6H        TSSOP20           4218.471mil    948.251mil   4333.629mil   1057.504mil   4333.629mil   1057.504mil  T        180.00 ADS1247        
U6G        TSSOP20           3667.288mil    948.251mil   3782.446mil   1057.504mil   3782.446mil   1057.504mil  T        180.00 ADS1247        
U6F        TSSOP20           3116.109mil    948.251mil   3231.267mil   1057.504mil   3231.267mil   1057.504mil  T        180.00 ADS1247        
U6E        TSSOP20           2564.926mil    948.251mil   2680.084mil   1057.504mil   2680.084mil   1057.504mil  T        180.00 ADS1247        
