Added Component: Designator=J1(QMS EDGE PWR PINS)
Added Pin To Net: NetName=GND Pin=J1-1
Added Pin To Net: NetName=GND Pin=J1-2
Added Pin To Net: NetName=CLK_6_P Pin=J1-3
Added Pin To Net: NetName=A_SOMI Pin=J1-4
Added Pin To Net: NetName=CLK_6_N Pin=J1-5
Added Pin To Net: NetName=A_INTERFACE_RESET_N Pin=J1-6
Added Pin To Net: NetName=A_SCLK Pin=J1-7
Added Pin To Net: NetName=RS485_H Pin=J1-8
Added Pin To Net: NetName=A_SIMO Pin=J1-9
Added Pin To Net: NetName=RS485_L Pin=J1-10
Added Pin To Net: NetName=GND Pin=J1-11
Added Pin To Net: NetName=GND Pin=J1-12
Added Pin To Net: NetName=INTERLOCK_POS Pin=J1-13
Added Pin To Net: NetName=INTERLOCK_NEG Pin=J1-15
Added Pin To Net: NetName=VAC_READ Pin=J1-16
Added Pin To Net: NetName=V_MON_VARIAN Pin=J1-17
Added Pin To Net: NetName=I_MON_VARIAN Pin=J1-19
Added Pin To Net: NetName=GND Pin=J1-21
Added Pin To Net: NetName=GND Pin=J1-22
Added Pin To Net: NetName=HV_ON_MON Pin=J1-23
Added Pin To Net: NetName=V_MON_MODION Pin=J1-24
Added Pin To Net: NetName=GND Pin=J1-31
Added Pin To Net: NetName=GND Pin=J1-32
Added Pin To Net: NetName=S_WIRED_1 Pin=J1-39
Added Pin To Net: NetName=GND Pin=J1-41
Added Pin To Net: NetName=GND Pin=J1-42
Added Pin To Net: NetName=I_ADDR0_A Pin=J1-43
Added Pin To Net: NetName=I_ADDR1 Pin=J1-45
Added Pin To Net: NetName=I_ADDR2 Pin=J1-47
Added Pin To Net: NetName=GND Pin=J1-51
Added Pin To Net: NetName=GND Pin=J1-52
Added Pin To Net: NetName=GND Pin=J1-53
Added Pin To Net: NetName=GND Pin=J1-54
Added Pin To Net: NetName=INLET_TEMP_BIAS Pin=J1-56
Added Pin To Net: NetName=OUTLET_TEMP_BIAS Pin=J1-58
Added Pin To Net: NetName=GND Pin=J1-63
Added Pin To Net: NetName=GND Pin=J1-64
Added Pin To Net: NetName=GND Pin=J1-73
Added Pin To Net: NetName=GND Pin=J1-74
Added Pin To Net: NetName=FAN_SPEED_OUT Pin=J1-76
Added Pin To Net: NetName=FAN_TACH Pin=J1-78
Added Pin To Net: NetName=~CRYO_ENABLE Pin=J1-79
Added Pin To Net: NetName=GND Pin=J1-83
Added Pin To Net: NetName=GND Pin=J1-84
Added Pin To Net: NetName=GND Pin=J1-93
Added Pin To Net: NetName=GND Pin=J1-94
Added Pin To Net: NetName=GND Pin=J1-103
Added Pin To Net: NetName=GND Pin=J1-104
Added Pin To Net: NetName=GND Pin=J1-105
Added Pin To Net: NetName=GND Pin=J1-106
Added Pin To Net: NetName=HTR_DRIVE+2 Pin=J1-108
Added Pin To Net: NetName=GND Pin=J1-110
Added Pin To Net: NetName=FORCE+2 Pin=J1-112
Added Pin To Net: NetName=FORCE-2 Pin=J1-114
Added Pin To Net: NetName=GND Pin=J1-115
Added Pin To Net: NetName=GND Pin=J1-116
Added Pin To Net: NetName=FORCE+1 Pin=J1-118
Added Pin To Net: NetName=SENSE+1 Pin=J1-120
Added Pin To Net: NetName=FORCE-1 Pin=J1-122
Added Pin To Net: NetName=SENSE-1 Pin=J1-124
Added Pin To Net: NetName=GND Pin=J1-125
Added Pin To Net: NetName=GND Pin=J1-126
Added Pin To Net: NetName=HTR_DRIVE+1 Pin=J1-128
Added Pin To Net: NetName=GND Pin=J1-130
Added Pin To Net: NetName=GND Pin=J1-135
Added Pin To Net: NetName=GND Pin=J1-136
Added Pin To Net: NetName=GND Pin=J1-145
Added Pin To Net: NetName=GND Pin=J1-146
Added Pin To Net: NetName=GND Pin=J1-155
Added Pin To Net: NetName=GND Pin=J1-156
Added Pin To Net: NetName=GND Pin=J1-157
Added Pin To Net: NetName=GND Pin=J1-158
Added Pin To Net: NetName=GND Pin=J1-159
Added Pin To Net: NetName=GND Pin=J1-160
Added Pin To Net: NetName=GND Pin=J1-161
Added Pin To Net: NetName=GND Pin=J1-162
Added Pin To Net: NetName=GND Pin=J1-163
Added Pin To Net: NetName=GND Pin=J1-164
Added Pin To Net: NetName=GND Pin=J1-165
Added Pin To Net: NetName=GND Pin=J1-166
Added Pin To Net: NetName=GND Pin=J1-167
Added Pin To Net: NetName=GND Pin=J1-168
Added Pin To Net: NetName=+12V Pin=J1-PC01
Added Pin To Net: NetName=-12V Pin=J1-PC02
Added Pin To Net: NetName=+5ANA Pin=J1-PC03
Added Pin To Net: NetName=+12V_ION Pin=J1-PC04
Added Pin To Net: NetName=+24V Pin=J1-PC05
Added Pin To Net: NetName=VCC Pin=J1-PC06
Added Pin To Net: NetName=A Pin=J1-PC07
Added Pin To Net: NetName=GND Pin=J1-PC08
Added Member To Class: ClassName=175-00053, rev1, Pg1, Sinistro Temp Telemetry Board Member=Component J1 QMSS-EM-PC4
Added Room: Name=Designator
